GISCO_ID;LAU_CODE;LAU_LABEL;name;iso;country;year;lat;lng;hdd;cdd;odiac_c;pm25;interpolated_population;interpolated_pop_density;BCSMASS;DMSSMASS;DUSMASS;SO2SMASS;SO4SMASS;gdp_pc;emissions
IT_008029;8029;Dolceacqua;Dolceacqua;ITA;Italy;2005;43.85;7.62;2995.242889;0;3742.030968;12.34761901;1947.364331;92.29569979;0.06985076;0.57808558;2.835486461;0.114864959;1.194836746;37956.20313;5754
IT_008034;8034;Mendatica;Mendatica;ITA;Italy;2005;44.083;7.8;3262.273071;0;1014.786129;13.15277783;236.3138366;7.963721584;0.035139135;0.288449241;1.410954242;0.058036545;0.597763589;38704.38379;1104
IT_008052;8052;San Bartolomeo al Mare;San Bartolomeo al Mare;ITA;Italy;2010;43.93;8.1;2716.420135;0;3740.493729;12.32500005;3441.571466;375.215125;0.03419204;0.291778983;1.607677658;0.046655733;0.587786359;38134.08203;35305
IT_008056;8056;Santo Stefano al Mare;Santo Stefano al Mare;ITA;Italy;2005;43.84;7.9;2995.242889;0;1313.16539;14.5;2334.191025;1110.665845;0.035139135;0.288449241;1.410954242;0.058036545;0.597763589;37956.20313;10278
IT_008057;8057;Seborga;Seborga;ITA;Italy;2007;43.83;7.7;2802.560516;0;2022.39856;13.03999977;356.9978313;71.87896476;0.032240672;0.370887474;1.547888373;0.053440833;0.600600882;39476.46094;1057
IT_008059;8059;Taggia;Taggia;ITA;Italy;2005;43.86;7.85;2995.242889;0;18819.3252;14.83823524;11612.1661;353.0735532;0.035139135;0.288449241;1.410954242;0.058036545;0.597763589;37956.20313;43363
IT_008062;8062;Vallebona;Vallebona;ITA;Italy;2005;43.81;7.66;2995.242889;0;2910.426193;13.05714294;1172.657373;171.6767027;0.035139135;0.288449241;1.410954242;0.058036545;0.597763589;37956.20313;3391
IT_009001;9001;Alassio;Alassio;ITA;Italy;2005;44;8.17;3168.462972;0;12616.51454;15.94761894;10420.66487;729.5662233;0.035139135;0.288449241;1.410954242;0.058036545;0.597763589;37956.20313;44786
IT_009002;9002;Albenga;Albenga;ITA;Italy;2005;44.05;8.217;3252.205032;0;32733.65717;19.71428567;22514.08077;583.4745345;0.070299712;0.576573998;2.819543816;0.11653478;1.196769498;37956.20313;72965
IT_009005;9005;Altare;Altare-Cosseria;ITA;Italy;2005;44.34;8.34;3242.136993;0;1644.0382;17.44666646;2145.390052;174.2768229;0.038830853;0.297349033;1.417926438;0.06663128;0.637482682;37956.20313;28598
IT_009006;9006;Andora;Andora;ITA;Italy;2004;43.96;8.14;3136.3627;0;17005.689;13.49210531;7072.972666;232.8302727;0.040166713;0.286999996;1.865412743;0.070582933;0.697936121;37688.94531;39203
IT_009012;9012;Borghetto Santo Spirito;Borghetto Santo Spirito;ITA;Italy;2005;44.12;8.24;3242.136993;0;5901.743958;20.79999987;4943.146807;1024.896124;0.070299712;0.576573998;2.819543816;0.11653478;1.196769498;37956.20313;24313
IT_009013;9013;Borgio Verezzi;Borgio Verezzi;ITA;Italy;2005;44.16;8.31;3242.136993;0;1852.933838;17.03333346;2351.17266;769.947805;0.035160577;0.288124757;1.408589574;0.058498235;0.59900591;37956.20313;8608
IT_009015;9015;Cairo Montenotte;Cairo Montenotte;ITA;Italy;2005;44.39;8.28;3242.136993;0;44839.41816;18.22608707;13416.51725;135.5307914;0.075608244;0.593519826;2.849911931;0.128697727;1.252082604;37956.20313;43161
