GISCO_ID;LAU_CODE;LAU_LABEL;name;iso;country;year;lat;lng;hdd;cdd;odiac_c;pm25;interpolated_population;interpolated_pop_density;BCSMASS;DMSSMASS;DUSMASS;SO2SMASS;SO4SMASS;gdp_pc;emissions
BE_11024;11024;Kontich;Kontich;BEL;Belgium;2020;51.14;4.45;5374.237618;NA;76886.30402;28.11251771;28909.99579;1163.683608;0.16067204;0.461343803;3.834556607;0.543814344;1.525263721;47960.04846;NA
BE_11029;11029;Mortsel;Mortsel;BEL;Belgium;2020;51.17;4.46;5374.237618;NA;19896.01789;18.57098406;13717.16284;2118.674154;0.16067204;0.461343803;3.834556607;0.543814344;1.525263721;47960.04846;NA
BE_11030;11030;Niel;Niel;BEL;Belgium;2020;51.11;4.33;5331.597968;NA;12530.71648;11.41776944;9831.863617;1712.228643;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;42794.13906;NA
BE_11035;11035;Ranst;Ranst;BEL;Belgium;2020;51.19;4.56;5374.237618;NA;54702.95646;18.90798562;16672.56876;398.3915347;0.169752292;0.437914061;3.860929192;0.611298076;1.578697154;47960.04846;NA
BE_11037;11037;Rumst;Rumst;BEL;Belgium;2020;51.08;4.42;5352.917793;NA;44225.43311;23.07827834;20090.2579;1007.049813;0.16067204;0.461343803;3.834556607;0.543814344;1.525263721;47960.04846;NA
BE_11038;11038;Schelle;Schelle;BEL;Belgium;2020;51.13;4.34;5352.917793;NA;16284.25547;14.3115045;10127.16916;1404.448469;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;42794.13906;NA
BE_11039;11039;Schilde;Schilde;BEL;Belgium;2020;51.24;4.58;5374.237618;NA;41465.38866;27.10512913;18216.85117;520.3599825;0.08814463;0.211917063;1.917157997;0.326158098;0.811291025;47960.04846;NA
BE_11044;11044;Stabroek;Stabroek;BEL;Belgium;2020;51.33;4.37;5352.917793;NA;57412.02025;21.29531011;22634.36432;1080.294898;0.087625085;0.213550426;1.89016125;0.318919862;0.81160279;47739.97237;NA
BE_11050;11050;Wijnegem;Wijnegem;BEL;Belgium;2020;51.23;4.52;5374.237618;NA;19590.28066;4.319334181;8591.792725;996.4985695;0.08814463;0.211917063;1.917157997;0.326158098;0.811291025;47960.04846;NA
BE_11052;11052;Wommelgem;Wommelgem;BEL;Belgium;2020;51.2;4.52;5374.237618;NA;29624.59305;11.8037319;16116.64081;1299.721299;0.169752292;0.437914061;3.860929192;0.611298076;1.578697154;47960.04846;NA
BE_11053;11053;Wuustwezel;Wuustwezel;BEL;Belgium;2020;51.39;4.59;5374.237618;NA;56807.99836;22.37577795;21288.93385;239.5112917;0.08814463;0.211917063;1.917157997;0.326158098;0.811291025;47739.97237;NA
BE_11054;11054;Zandhoven;Zandhoven;BEL;Belgium;2020;51.22;4.66;5374.237618;NA;38671.02068;17.32209032;12781.41191;316.1151371;0.169752292;0.437914061;3.860929192;0.611298076;1.578697154;47960.04846;NA
BE_11055;11055;Zoersel;Zoersel;BEL;Belgium;2020;51.27;4.71;5374.237618;NA;30862.20129;21.39874547;22078.97215;561.6102726;0.08814463;0.211917063;1.917157997;0.326158098;0.811291025;47960.04846;NA
BE_11056;11056;Zwijndrecht;Zwijndrecht;BEL;Belgium;2020;51.22;4.32;5331.597968;NA;101386.3902;15.74494931;20750.61118;1128.952687;0.166689464;0.44889723;3.780946662;0.577594228;1.569460381;41072.16927;NA
BE_12002;12002;Berlaar;Berlaar;BEL;Belgium;2020;51.12;4.66;5374.237618;NA;23786.93268;18.70771157;12390.284;498.4970172;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;50942.21006;NA
BE_12005;12005;Bonheiden;Bonheiden;BEL;Belgium;2020;51.03;4.55;5369.420591;NA;39578.61733;21.94348096;14047.20851;471.8031772;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;56752.88563;NA
BE_12007;12007;Bornem;Bornem;BEL;Belgium;2020;51.06;4.21;5331.597968;NA;59108.09223;26.89259082;19810.5233;470.5142988;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;45455.08379;NA
BE_12009;12009;Duffel;Duffel;BEL;Belgium;2020;51.1;4.51;5374.237618;NA;45630.7161;26.86094498;18981.33127;890.8682373;0.16067204;0.461343803;3.834556607;0.543814344;1.525263721;50942.21006;NA
BE_12014;12014;Heist-op-den-Berg;Heist-op-den-Berg;BEL;Belgium;2020;51.08;4.73;5369.420591;NA;85027.5323;25.3070218;45085.43008;527.7127912;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;52879.10192;NA
